iter	RMSE
0	3.967825038
1	3.95740151
2	3.946391704
3	3.935095045
4	3.924701808
5	3.914696156
6	3.903188121
7	3.893248341
8	3.882783291
9	3.871803341
10	3.860761014
11	3.850362973
12	3.839957705
13	3.830172532
14	3.81957468
15	3.809279035
16	3.800735463
17	3.790188391
18	3.78048971
19	3.770672393
20	3.761206431
21	3.75110177
22	3.741147856
23	3.731465401
24	3.721802728
25	3.712502283
26	3.702949266
27	3.692939593
28	3.683736573
29	3.674274435
30	3.664540217
31	3.654781447
32	3.645899974
33	3.636337542
34	3.626504307
35	3.61792877
36	3.608750897
37	3.599738687
38	3.590912997
39	3.582064946
40	3.573504597
41	3.564694013
42	3.555864345
43	3.548742397
44	3.540489945
45	3.532319991
46	3.523777574
47	3.515248386
48	3.506770794
49	3.498227339
50	3.489841852
51	3.482348549
52	3.474137633
53	3.465916441
54	3.457297353
55	3.449784473
56	3.441680815
57	3.433655896
58	3.426006737
59	3.418363354
60	3.411119612
61	3.403432047
62	3.395501235
63	3.387914157
64	3.380144483
65	3.372692597
66	3.365618674
67	3.358299326
68	3.350773142
69	3.343621561
70	3.336329767
71	3.328841637
72	3.32160778
73	3.314500198
74	3.3073725
75	3.299903945
76	3.293894941
77	3.287858365
78	3.280938642
79	3.274254092
80	3.26756775
81	3.261133074
82	3.255010187
83	3.248584219
84	3.2418527
85	3.235170173
86	3.229928594
87	3.223527024
88	3.217145469
89	3.210712142
90	3.204184513
91	3.198110336
92	3.19145617
93	3.184936547
94	3.178857092
95	3.172598415
96	3.167462001
97	3.161452123
98	3.156517119
99	3.150475932
100	3.144313147
101	3.138733127
102	3.132618654
103	3.127423123
104	3.121573082
105	3.115922317
106	3.110253985
107	3.104615997
108	3.098857815
109	3.093764048
110	3.088292187
111	3.082834196
112	3.077940952
113	3.072931961
114	3.067244485
115	3.061700296
116	3.05628604
117	3.050763401
118	3.045245117
119	3.039961186
120	3.034603211
121	3.030078583
122	3.02470381
123	3.019866624
124	3.014765832
125	3.009524471
126	3.004898308
127	2.999624716
128	2.995348196
129	2.990959221
130	2.986132407
131	2.981544386
132	2.976812545
133	2.972080673
134	2.967077243
135	2.96266114
136	2.957852241
137	2.953575887
138	2.948748651
139	2.943864989
140	2.939909667
141	2.935612615
142	2.931399367
143	2.926755222
144	2.922350925
145	2.918149814
146	2.913660771
147	2.909790402
148	2.905579128
149	2.901652663
150	2.897280678
151	2.89273086
152	2.88896768
153	2.884522542
154	2.880959503
155	2.877864822
156	2.873573784
157	2.870399376
158	2.86612333
159	2.861884854
160	2.857597753
161	2.853630263
162	2.849717792
163	2.845782695
164	2.842303857
165	2.838429951
166	2.834415216
167	2.830575012
168	2.826676242
169	2.822869365
170	2.819641265
171	2.815629563
172	2.812666772
173	2.808872886
174	2.805999318
175	2.802007468
176	2.798650983
177	2.795312313
178	2.791853572
179	2.789177638
180	2.785440421
181	2.781829303
182	2.779337019
183	2.775605286
184	2.772287176
185	2.768507937
186	2.765692538
187	2.763265496
188	2.759892336
189	2.7566169
190	2.753739347
191	2.75025319
192	2.747174451
193	2.743754474
194	2.740422869
195	2.737189924
196	2.734299073
197	2.731262274
198	2.727909099
199	2.724873705
200	2.721721668
201	2.718588403
202	2.715689383
203	2.71248335
204	2.709493499
205	2.706347359
206	2.704029381
207	2.701052779
208	2.698032817
209	2.694863048
210	2.691812192
211	2.688796269
212	2.686008395
213	2.68321179
214	2.680583605
215	2.678574922
216	2.675571525
217	2.673115769
218	2.670094304
219	2.66718131
220	2.664659254
221	2.661883786
222	2.659729177
223	2.657047153
224	2.655013859
225	2.652728279
226	2.650115914
227	2.647769394
228	2.645688746
229	2.64319347
230	2.640711427
231	2.638295448
232	2.635590817
233	2.633429728
234	2.631433265
235	2.628964305
236	2.62670933
237	2.624783109
238	2.622139862
239	2.620254515
240	2.618114869
241	2.615893093
242	2.613989353
243	2.611938071
244	2.610167322
245	2.608429534
246	2.606581069
247	2.605280079
248	2.603008323
249	2.600623868
250	2.59883521
251	2.59664999
252	2.594435692
253	2.592386277
254	2.59009899
255	2.587913723
256	2.585745192
257	2.583523625
258	2.581167581
259	2.578972039
260	2.576931434
261	2.574868982
262	2.573127092
263	2.571230486
264	2.569633405
265	2.567786247
266	2.56623995
267	2.564420921
268	2.56271676
269	2.56115505
270	2.559378588
271	2.557709223
272	2.555808619
273	2.554184956
274	2.552908549
275	2.55085746
276	2.549188981
277	2.547422534
278	2.545602955
279	2.54423524
280	2.542332532
281	2.540401574
282	2.53857013
283	2.537440528
284	2.536051816
285	2.534317424
286	2.532693155
287	2.530829443
288	2.529443751
289	2.527741794
290	2.526062073
291	2.524459953
292	2.522680247
293	2.520987725
294	2.519286388
295	2.517742159
296	2.516128832
297	2.514426755
298	2.512744928
299	2.511288967
